,hour,tout,thermal_type,schedule_type,daytype,thermal,schedule,workday,state
0,0,27,0,1,0,0,1,0,1
1,1,27,0,1,0,0,1,0,0
2,2,27,0,1,0,0,1,0,0
3,3,27,0,1,0,0,1,0,0
4,4,26,0,1,0,0,1,0,0
5,5,26,0,1,0,0,1,0,0
6,6,26,0,1,0,0,1,0,0
7,7,26,0,1,0,0,1,0,0
8,8,28,0,1,0,0,1,0,0
9,9,28,0,1,0,0,1,0,0
10,10,30,0,1,0,0,1,0,0
11,11,31,0,1,0,0,1,0,0
12,12,32,0,1,0,0,1,0,0
13,13,32,0,1,0,0,1,0,0
14,14,33,0,1,0,0,1,0,0
15,15,32,0,1,0,0,1,0,0
16,16,33,0,1,0,0,1,0,1
17,17,33,0,1,0,0,1,0,0
18,18,32,0,1,0,0,1,0,1
19,19,31,0,1,0,0,1,0,1
20,20,31,0,1,0,0,1,0,1
21,21,29,0,1,0,0,1,0,1
22,22,29,0,1,0,0,1,0,1
23,23,29,0,1,0,0,1,0,1
