,hour,tout,thermal_type,schedule_type,daytype,thermal,schedule,workday,state
0,0,27,1,1,0,1,1,0,1
1,1,27,1,1,0,1,1,0,1
2,2,27,1,1,0,1,1,0,1
3,3,27,1,1,0,1,1,0,1
4,4,26,1,1,0,1,1,0,1
5,5,26,1,1,0,1,1,0,1
6,6,26,1,1,0,1,1,0,1
7,7,26,1,1,0,1,1,0,0
8,8,28,1,1,0,1,1,0,0
9,9,28,1,1,0,1,1,0,0
10,10,30,1,1,0,1,1,0,0
11,11,31,1,1,0,1,1,0,0
12,12,32,1,1,0,1,1,0,0
13,13,32,1,1,0,1,1,0,0
14,14,33,1,1,0,1,1,0,0
15,15,32,1,1,0,1,1,0,0
16,16,33,1,1,0,1,1,0,0
17,17,33,1,1,0,1,1,0,0
18,18,32,1,1,0,1,1,0,0
19,19,31,1,1,0,1,1,0,0
20,20,31,1,1,0,1,1,0,0
21,21,29,1,1,0,1,1,0,0
22,22,29,1,1,0,1,1,0,1
23,23,29,1,1,0,1,1,0,0
